"model_name","reps","nlevels","propagule_mean.mass","propagule_num","mean/meanlog/shape_mean","sd/sdlog/rate/scale_mean","mean/meanlog/shape_se","sd/sdlog/rate/scale_se","out_chiq","out_chiqpvalue","out_cvm","out_cvmtest","out_ks","out_kestest","out_aic","out_bic"
"gamma","4","60","41.6363636363636","33","0.885827018096481","0.0212791454565103","0.189554629698468","0.00600019776332552","5.51971706657948","0.137464063142777","0.114140562944095",NA,"0.1700479306968","not rejected","315.7822196356","318.775234758533"
"lnorm","4","60","41.6363636363636","33","3.06778122517077","1.27292456021009","0.221587723623872","0.156685746867596","3.77614056316115","0.286673607771823","0.0627137059576232","not computed","0.10391615750982","not rejected","316.050429775013","319.043444897946"
"weibull","4","60","41.6363636363636","33","0.913188849016668","39.8331534640654","0.124862217522307","8.0265496525399","5.15806724538357","0.160581906372108","0.101970492488261","not rejected","0.161678527910646","not rejected","315.653983268592","318.646998391525"
"norm","4","60","41.6363636363636","33","41.6363636363636","43.0361498375199","7.49163241821106","5.29738408507402","26.7752096647082","6.56204796937276e-06","0.419602447332971","not computed","0.254027699104841","rejected","345.944613314185","348.937628437118"
"gamma","5","10","64.0740740740741","27","2.28860355970962","0.0357095700031361","0.581979248704502","0.0101414212684609","9.61340895652794","0.0474683890211477","0.115593698745494","not rejected","0.15848219497801","not computed","274.155504520394","276.747178252403"
"lnorm","5","10","64.0740740740741","27","3.92592557451872","0.715030401251757","0.13760766488958","0.0973024565545409","9.5662579960691","0.0484034535877733","0.106145841620673","not computed","0.13880064974173","not computed","274.509430047287","277.101103779295"
"weibull","5","10","64.0740740740741","27","1.6343527527348","71.9324557186591","0.251112692857789","8.95265188583165","10.0249591174616","0.0400093411612744","0.122104761980697","rejected","0.168701160819026","not computed","274.334353657256","276.926027389264"
"norm","5","10","64.0740740740741","27","64.0740740740741","40.7702923125868","7.84624808430017","5.54813340706698","16.2521509673568","0.00269882245216924","0.196830164262191","not computed","0.198904238077383","not computed","280.852179869536","283.443853601545"
"gamma","5","20","60.4285714285714","42","1.71305872398021","0.0283448056528029","0.342778536255909","0.00657067789237132","8.53611324570364","0.129060087869471","0.0853272589219598","not rejected","0.11162488887626","not rejected","426.282452982939","429.757792219506"
"lnorm","5","20","60.4285714285714","42","3.78202927332182","0.906872702165515","0.139933495940864","0.0989473824799384","7.73118538509067","0.171686054307151","0.104230252307792","not computed","0.103286789652204","not rejected","432.670027860385","436.145367096952"
